# Tomato32 ROM opcode table — one row per rom_addr (1024x64 microcode). Hardware authority; ISA personalities live under profiles/.
rom_addr,rom_region,mnemonic,group,encoding,semantic_op,ir_imm_sel,alu_op,alu_pre,cin_sel,shift_op,wb_sel,reg_we,bank_en,flags_we,mem_rd,mem_wr,byte_sel,mem_sel,branch_en,jump_type,sp_op,pc_src,pc_link_we,pc_cond,cycles,ctrl_bussel,mul_en,div_en,lut3_index,primitive_id,hardware_tier,notes,status
0x035,,,,,,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,,,,,
0x036,,,,,,0,170,5,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,,,,,
0x040,,,,,,3,150,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,,,,,
0x041,,,,,,3,150,7,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,1,0,0,,,,,
0x042,,,,,,3,150,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,,,,,
0x043,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,,,,,
0x050,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,
0x051,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,,,,,
0x052,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,,,,,
0x053,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,,,,,
0x054,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,,,,,
0x055,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,,,,,
0x056,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,,,,,
0x057,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,,,,,
0x060,,,,,,9,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,,,,,
0x061,,,,,,3,150,5,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,,,,,
0x062,native,JMP,jump,jmp26_x4,JMP,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,native,,
0x063,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,,,,,
0x064,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,,,,,
0x070,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0,0,,,,,
0x071,,,,,,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2,7,0,0,,,,,
0x072,,,,,,9,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,,,,,
0x073,,,,,,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,2,7,0,0,,,,,
0x074,,,,,,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,7,0,0,,,,,
0x075,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,,,,,
0x076,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0,0,,,,,
0x077,,,,,,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,7,0,0,,,,,
0x078,,,,,,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x079,,,,,,0,240,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x07a,,,,,,0,170,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x07b,,,,,,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,7,0,0,,,,,
0x07c,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0,0,,,,,
0x07d,,,,,,0,170,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,,,,,
0x07e,,,,,,0,170,5,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1,0,0,,,,,
0x080,,,,,,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,
0x081,,,,,,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,
0x082,,,,,,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,
0x083,,,,,,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,
0x084,,,,,,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x085,,,,,,8,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,
0x090,,,,,,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,
0x091,,,,,,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,
0x092,,,,,,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,
0x093,,,,,,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,
0x0a0,,,,,,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0a1,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
